name,RottenTomatoes,Metacritic,IMDB,Fandango_Stars,Fandango_Ratingvalue,Metacritic_user_vote_count,IMDB_user_vote_count,Fandango_votes
Avengers: Age of Ultron (2015),74,66,7.8,5,4.5,1330,271107,14846
Cinderella (2015),85,67,7.1,5,4.5,249,65709,12640
Ant-Man (2015),80,64,7.8,5,4.5,627,103660,12055
Do You Believe? (2015),18,22,5.4,5,4.5,31,3136,1793
Hot Tub Time Machine 2 (2015),14,29,5.1,3.5,3,88,19560,1021
The Water Diviner (2015),63,50,7.2,4.5,4,34,39373,397
Irrational Man (2015),42,53,6.9,4,3.5,17,2680,252
Top Five (2014),86,81,6.5,4,3.5,124,16876,3223
Shaun the Sheep Movie (2015),99,81,7.4,4.5,4,62,12227,896
Love & Mercy (2015),89,80,7.8,4.5,4,54,5367,864
Far From The Madding Crowd (2015),84,71,7.2,4.5,4,35,12129,804
Black Sea (2015),82,62,6.4,4,3.5,37,16547,218
Leviathan (2014),99,92,7.7,4,3.5,145,22521,64
Unbroken (2014),51,59,7.2,4.5,4.1,218,77518,9443
The Imitation Game (2014),90,73,8.1,5,4.6,566,334164,8055
Taken 3 (2015),9,26,6.1,4.5,4.1,240,104235,6757
Ted 2 (2015),46,48,6.6,4.5,4.1,197,49102,6437
Southpaw (2015),59,57,7.8,5,4.6,128,23561,5597
Night at the Museum: Secret of the Tomb (2014),50,47,6.3,4.5,4.1,103,50291,5445
Pixels (2015),17,27,5.6,4.5,4.1,246,19521,3886
"McFarland, USA (2015)",79,60,7.5,5,4.6,59,13769,3364
Insidious: Chapter 3 (2015),59,52,6.3,4.5,4.1,115,25134,3276
The Man From U.N.C.L.E. (2015),68,55,7.6,4.5,4.1,144,22104,2686
Run All Night (2015),60,59,6.6,4.5,4.1,141,50438,2066
Trainwreck (2015),85,75,6.7,4.5,4.1,169,27380,8381
Selma (2014),99,89,7.5,5,4.6,316,45344,7025
Ex Machina (2015),92,78,7.7,4.5,4.1,672,154499,3458
Still Alice (2015),88,72,7.5,4.5,4.1,153,57123,1258
Wild Tales (2014),96,77,8.2,4.5,4.1,107,50285,235
The End of the Tour (2015),92,84,7.9,4.5,4.1,19,1320,121
Red Army (2015),96,82,7.7,4.5,4.1,11,2275,54
When Marnie Was There (2015),89,71,7.8,4.5,4.1,29,4160,46
The Hunting Ground (2015),92,77,7.5,4.5,4.1,6,1196,42
The Boy Next Door (2015),10,30,4.6,4,3.6,75,19658,2800
Aloha (2015),19,40,5.5,3.5,3.1,67,12255,2284
The Loft (2015),11,24,6.3,4,3.6,80,21319,811
5 Flights Up (2015),52,55,6.1,4,3.6,6,2174,79
Welcome to Me (2015),71,67,5.9,4,3.6,33,8301,56
Saint Laurent (2015),51,52,6.3,3.5,3.1,8,2196,43
Maps to the Stars (2015),60,67,6.3,3.5,3.1,46,22440,35
I'll See You In My Dreams (2015),94,75,6.9,4,3.6,14,1151,281
Timbuktu (2015),99,91,7.2,4,3.6,37,6246,74
About Elly (2015),97,87,8.2,4,3.6,23,20659,43
The Diary of a Teenage Girl (2015),95,87,7,4,3.6,18,1107,38
Kingsman: The Secret Service (2015),75,58,7.8,4.5,4.2,1054,272204,15205
Tomorrowland (2015),50,60,6.6,4,3.7,262,42937,8077
The Divergent Series: Insurgent (2015),30,42,6.4,4.5,4.2,206,89618,7123
Annie (2014),27,33,5.2,4.5,4.2,108,19222,6835
Fantastic Four (2015),9,27,4,3,2.7,421,39838,6288
Terminator Genisys (2015),26,38,6.9,4.5,4.2,779,85585,6272
Pitch Perfect 2 (2015),67,63,6.7,4.5,4.2,192,56333,4577
Entourage (2015),32,38,7.1,4.5,4.2,96,21914,4279
The Age of Adaline (2015),54,51,7.3,4.5,4.2,100,45510,3325
Hot Pursuit (2015),8,31,4.9,4,3.7,78,17061,2618
The DUFF (2015),71,56,6.6,4.5,4.2,69,33594,2273
Black or White (2015),39,45,6.6,4.5,4.2,24,4857,1862
Project Almanac (2015),34,47,6.4,4,3.7,95,40057,1834
Ricki and the Flash (2015),64,54,6.2,4,3.7,37,1769,1462
Seventh Son (2015),12,30,5.5,3.5,3.2,126,41177,1213
Mortdecai (2015),12,27,5.5,3.5,3.2,144,31878,1196
Unfinished Business (2015),11,32,5.4,3.5,3.2,39,14346,821
American Ultra (2015),46,50,6.5,4,3.7,42,3017,638
